character,link
wizards and witches,https://harrypotter.fandom.com/wiki/Wizardkind
Sorted,https://harrypotter.fandom.com/wiki/Sorting_Ceremony
Gryffindor,https://harrypotter.fandom.com/wiki/Gryffindor
house,https://harrypotter.fandom.com/wiki/Hogwarts_Houses
Hogwarts School of Witchcraft and Wizardry,https://harrypotter.fandom.com/wiki/Hogwarts_School_of_Witchcraft_and_Wizardry
Sirius Black,https://harrypotter.fandom.com/wiki/Sirius_Black
Albus Dumbledore,https://harrypotter.fandom.com/wiki/Albus_Dumbledore
Ginevra Weasley,https://harrypotter.fandom.com/wiki/Ginevra_Weasley
Remus Lupin,https://harrypotter.fandom.com/wiki/Remus_Lupin
William Weasley,https://harrypotter.fandom.com/wiki/William_Weasley
Peter Pettigrew,https://harrypotter.fandom.com/wiki/Peter_Pettigrew
Percy Weasley,https://harrypotter.fandom.com/wiki/Percy_Weasley
James Potter (I),https://harrypotter.fandom.com/wiki/James_Potter_(I)
Euan Abercrombie,https://harrypotter.fandom.com/wiki/Euan_Abercrombie
Sakura Akagi,https://harrypotter.fandom.com/wiki/Sakura_Akagi
Zakir Akram,https://harrypotter.fandom.com/wiki/Zakir_Akram
Nick Alas,https://harrypotter.fandom.com/wiki/Nick_Alas
Filemina Alchin,https://harrypotter.fandom.com/wiki/Filemina_Alchin
Christian Alexander,https://harrypotter.fandom.com/wiki/Christian_Alexander
Astrix Alixan,https://harrypotter.fandom.com/wiki/Astrix_Alixan
Brandon Angel,https://harrypotter.fandom.com/wiki/Brandon_Angel
Jada Angela,https://harrypotter.fandom.com/wiki/Jada_Angela
Owen Anthony,https://harrypotter.fandom.com/wiki/Owen_Anthony
Angelina Appleby,https://harrypotter.fandom.com/wiki/Angelina_Appleby
Oona Ballington,https://harrypotter.fandom.com/wiki/Oona_Ballington
Pete Balsall,https://harrypotter.fandom.com/wiki/Pete_Balsall
Allison Barnes,https://harrypotter.fandom.com/wiki/Allison_Barnes
Concepta Battista,https://harrypotter.fandom.com/wiki/Concepta_Battista
Katie Bell,https://harrypotter.fandom.com/wiki/Katie_Bell
Fiona Belmont,https://harrypotter.fandom.com/wiki/Fiona_Belmont
Bem,https://harrypotter.fandom.com/wiki/Bem
Kajol Bhatt,https://harrypotter.fandom.com/wiki/Kajol_Bhatt
Betty Bickering,https://harrypotter.fandom.com/wiki/Betty_Bickering
Hugh Biggs,https://harrypotter.fandom.com/wiki/Hugh_Biggs
Sally Birchgrove,https://harrypotter.fandom.com/wiki/Sally_Birchgrove
Sirius Black,https://harrypotter.fandom.com/wiki/Sirius_Black
Cressida Blume's brother,https://harrypotter.fandom.com/wiki/Cressida_Blume%27s_brother
Mike Boon,https://harrypotter.fandom.com/wiki/Mike_Boon
Derek (Wizard Card Collectors' Club),https://harrypotter.fandom.com/wiki/Derek_(Wizard_Card_Collectors%27_Club)
Lucan Brattleby,https://harrypotter.fandom.com/wiki/Lucan_Brattleby
Justine Britnell,https://harrypotter.fandom.com/wiki/Justine_Britnell
Tanner Van Burm,https://harrypotter.fandom.com/wiki/Tanner_Van_Burm
Cadogan,https://harrypotter.fandom.com/wiki/Cadogan
Richard Carter,https://harrypotter.fandom.com/wiki/Richard_Carter
Stephen Challock,https://harrypotter.fandom.com/wiki/Stephen_Challock
Polly Chapman,https://harrypotter.fandom.com/wiki/Polly_Chapman
Jason Charmer,https://harrypotter.fandom.com/wiki/Jason_Charmer
Liza Cherks,https://harrypotter.fandom.com/wiki/Liza_Cherks
Nina Chibbar,https://harrypotter.fandom.com/wiki/Nina_Chibbar
Brian Cinderford,https://harrypotter.fandom.com/wiki/Brian_Cinderford
Iain Claverdon,https://harrypotter.fandom.com/wiki/Iain_Claverdon
Freddie Clemmons,https://harrypotter.fandom.com/wiki/Freddie_Clemmons
Andrew Cleveley,https://harrypotter.fandom.com/wiki/Andrew_Cleveley
Rachael Codnor,https://harrypotter.fandom.com/wiki/Rachael_Codnor
Angelica Cole,https://harrypotter.fandom.com/wiki/Angelica_Cole
Lydia Cooden,https://harrypotter.fandom.com/wiki/Lydia_Cooden
Ritchie Coote,https://harrypotter.fandom.com/wiki/Ritchie_Coote
Muldoon Cragg,https://harrypotter.fandom.com/wiki/Muldoon_Cragg
Colin Creevey,https://harrypotter.fandom.com/wiki/Colin_Creevey
Dennis Creevey,https://harrypotter.fandom.com/wiki/Dennis_Creevey
Winky Crockett (Gryffindor),https://harrypotter.fandom.com/wiki/Winky_Crockett_(Gryffindor)
Lisa Cullen,https://harrypotter.fandom.com/wiki/Lisa_Cullen
Haley Dakota,https://harrypotter.fandom.com/wiki/Haley_Dakota
Dan,https://harrypotter.fandom.com/wiki/Dan
Jennifer Dawn,https://harrypotter.fandom.com/wiki/Jennifer_Dawn
Alison Denshaw,https://harrypotter.fandom.com/wiki/Alison_Denshaw
Mary Doyle,https://harrypotter.fandom.com/wiki/Mary_Doyle
Aberforth Dumbledore,https://harrypotter.fandom.com/wiki/Aberforth_Dumbledore
Albus Dumbledore,https://harrypotter.fandom.com/wiki/Albus_Dumbledore
Fay Dunbar,https://harrypotter.fandom.com/wiki/Fay_Dunbar
Edward,https://harrypotter.fandom.com/wiki/Edward
Emily (Gryffindor),https://harrypotter.fandom.com/wiki/Emily_(Gryffindor)
Eleanor Everleigh,https://harrypotter.fandom.com/wiki/Eleanor_Everleigh
Elliot Evers,https://harrypotter.fandom.com/wiki/Elliot_Evers
Tracie Everson,https://harrypotter.fandom.com/wiki/Tracie_Everson
Rosalyn Ewhurst,https://harrypotter.fandom.com/wiki/Rosalyn_Ewhurst
Natalie Fairbourne,https://harrypotter.fandom.com/wiki/Natalie_Fairbourne
Kevin Farrell,https://harrypotter.fandom.com/wiki/Kevin_Farrell
Zola Farrell,https://harrypotter.fandom.com/wiki/Zola_Farrell
Fat Lady,https://harrypotter.fandom.com/wiki/Fat_Lady
Eleazar Fig,https://harrypotter.fandom.com/wiki/Eleazar_Fig
Florence Finnigan,https://harrypotter.fandom.com/wiki/Florence_Finnigan
Terrence Fogarty,https://harrypotter.fandom.com/wiki/Terrence_Fogarty
Louise Fontwell,https://harrypotter.fandom.com/wiki/Louise_Fontwell
Lavinia Fortescue,https://harrypotter.fandom.com/wiki/Lavinia_Fortescue
Sam Fraddon,https://harrypotter.fandom.com/wiki/Sam_Fraddon
Hamish Frater,https://harrypotter.fandom.com/wiki/Hamish_Frater
Riley Frazer,https://harrypotter.fandom.com/wiki/Riley_Frazer
Frederick,https://harrypotter.fandom.com/wiki/Frederick
Yann Fredericks,https://harrypotter.fandom.com/wiki/Yann_Fredericks
Vicky Frobisher,https://harrypotter.fandom.com/wiki/Vicky_Frobisher
Chris Garland,https://harrypotter.fandom.com/wiki/Chris_Garland
Ethan Gerard,https://harrypotter.fandom.com/wiki/Ethan_Gerard
Annalena Gleam,https://harrypotter.fandom.com/wiki/Annalena_Gleam
Stephen Gould,https://harrypotter.fandom.com/wiki/Stephen_Gould
Rose Granger-Weasley,https://harrypotter.fandom.com/wiki/Rose_Granger-Weasley
Abigail Grey,https://harrypotter.fandom.com/wiki/Abigail_Grey
Godric Gryffindor,https://harrypotter.fandom.com/wiki/Godric_Gryffindor
Rubeus Hagrid,https://harrypotter.fandom.com/wiki/Rubeus_Hagrid
David Hamblin,https://harrypotter.fandom.com/wiki/David_Hamblin
Curt Hanger,https://harrypotter.fandom.com/wiki/Curt_Hanger
Kelly Harborne,https://harrypotter.fandom.com/wiki/Kelly_Harborne
Head of Gryffindor House,https://harrypotter.fandom.com/wiki/Head_of_Gryffindor_House
Ryan Henry,https://harrypotter.fandom.com/wiki/Ryan_Henry
Edgar Hexsmith,https://harrypotter.fandom.com/wiki/Edgar_Hexsmith
Jenna Hexsmith,https://harrypotter.fandom.com/wiki/Jenna_Hexsmith
Natalie Holkham,https://harrypotter.fandom.com/wiki/Natalie_Holkham
Thelma Holmes,https://harrypotter.fandom.com/wiki/Thelma_Holmes
Geoffrey Hooper,https://harrypotter.fandom.com/wiki/Geoffrey_Hooper
Carl Hopkins,https://harrypotter.fandom.com/wiki/Carl_Hopkins
Lucy Hurst,https://harrypotter.fandom.com/wiki/Lucy_Hurst
Satoru Iida,https://harrypotter.fandom.com/wiki/Satoru_Iida
Erica J.,https://harrypotter.fandom.com/wiki/Erica_J.
Peter James,https://harrypotter.fandom.com/wiki/Peter_James
Hector Jenkins,https://harrypotter.fandom.com/wiki/Hector_Jenkins
Jessamine,https://harrypotter.fandom.com/wiki/Jessamine
Ella Jo,https://harrypotter.fandom.com/wiki/Ella_Jo
Nandini Johar,https://harrypotter.fandom.com/wiki/Nandini_Johar
Angelina Johnson,https://harrypotter.fandom.com/wiki/Angelina_Johnson
Peter Jones,https://harrypotter.fandom.com/wiki/Peter_Jones
Lee Jordan,https://harrypotter.fandom.com/wiki/Lee_Jordan
Timothy Justin,https://harrypotter.fandom.com/wiki/Timothy_Justin
Anjali Kapoor,https://harrypotter.fandom.com/wiki/Anjali_Kapoor
Michael Karume,https://harrypotter.fandom.com/wiki/Michael_Karume
Sage Kelleen,https://harrypotter.fandom.com/wiki/Sage_Kelleen
Victor Kidd,https://harrypotter.fandom.com/wiki/Victor_Kidd
Jo King (Gryffindor),https://harrypotter.fandom.com/wiki/Jo_King_(Gryffindor)
R. J. H. King,https://harrypotter.fandom.com/wiki/R._J._H._King
Andrew Kirke,https://harrypotter.fandom.com/wiki/Andrew_Kirke
Toby Lennox (Gryffindor),https://harrypotter.fandom.com/wiki/Toby_Lennox_(Gryffindor)
Aamir Loonat,https://harrypotter.fandom.com/wiki/Aamir_Loonat
Remus Lupin,https://harrypotter.fandom.com/wiki/Remus_Lupin
Trinity Lynn,https://harrypotter.fandom.com/wiki/Trinity_Lynn
Mabel,https://harrypotter.fandom.com/wiki/Mabel
Anita Macduff,https://harrypotter.fandom.com/wiki/Anita_Macduff
Pippa Macmillan,https://harrypotter.fandom.com/wiki/Pippa_Macmillan
Hisana Malachela,https://harrypotter.fandom.com/wiki/Hisana_Malachela
Daphne Maldon,https://harrypotter.fandom.com/wiki/Daphne_Maldon
Trev Mallory,https://harrypotter.fandom.com/wiki/Trev_Mallory
Marauders,https://harrypotter.fandom.com/wiki/Marauders
Alexis Marie,https://harrypotter.fandom.com/wiki/Alexis_Marie
Gianna Grace Marie,https://harrypotter.fandom.com/wiki/Gianna_Grace_Marie
Kenny Markham,https://harrypotter.fandom.com/wiki/Kenny_Markham
Angus Matlock,https://harrypotter.fandom.com/wiki/Angus_Matlock
Paul Mawdesley,https://harrypotter.fandom.com/wiki/Paul_Mawdesley
McClaggan,https://harrypotter.fandom.com/wiki/McClaggan
Natalie McDonald,https://harrypotter.fandom.com/wiki/Natalie_McDonald
Joe McGee,https://harrypotter.fandom.com/wiki/Joe_McGee
M. G. McGonagall,https://harrypotter.fandom.com/wiki/M._G._McGonagall
Minerva McGonagall,https://harrypotter.fandom.com/wiki/Minerva_McGonagall
Cormac McLaggen,https://harrypotter.fandom.com/wiki/Cormac_McLaggen
Robin McTighe,https://harrypotter.fandom.com/wiki/Robin_McTighe
Tiburon Merriweather,https://harrypotter.fandom.com/wiki/Tiburon_Merriweather
Michael,https://harrypotter.fandom.com/wiki/Michael
Eloise Midgen,https://harrypotter.fandom.com/wiki/Eloise_Midgen
Nicholas de Mimsy-Porpington,https://harrypotter.fandom.com/wiki/Nicholas_de_Mimsy-Porpington
Miraphora Mina (Hogwarts student),https://harrypotter.fandom.com/wiki/Miraphora_Mina_(Hogwarts_student)
Ruth Mina,https://harrypotter.fandom.com/wiki/Ruth_Mina
Anna Mirfield,https://harrypotter.fandom.com/wiki/Anna_Mirfield
Raza Mohammad,https://harrypotter.fandom.com/wiki/Raza_Mohammad
Tatsuya Motoyama,https://harrypotter.fandom.com/wiki/Tatsuya_Motoyama
Kieran Muirhead,https://harrypotter.fandom.com/wiki/Kieran_Muirhead
Roderick Murphy,https://harrypotter.fandom.com/wiki/Roderick_Murphy
Valeria Myriadd,https://harrypotter.fandom.com/wiki/Valeria_Myriadd
Edith Newton,https://harrypotter.fandom.com/wiki/Edith_Newton
Abigail Nicola,https://harrypotter.fandom.com/wiki/Abigail_Nicola
Amber Noel,https://harrypotter.fandom.com/wiki/Amber_Noel
Phelan Noel,https://harrypotter.fandom.com/wiki/Phelan_Noel
David Nolton,https://harrypotter.fandom.com/wiki/David_Nolton
Mallory Norden,https://harrypotter.fandom.com/wiki/Mallory_Norden
Neil Nuts,https://harrypotter.fandom.com/wiki/Neil_Nuts
Aiden O'Connor,https://harrypotter.fandom.com/wiki/Aiden_O%27Connor
Shelagh O'Dowd,https://harrypotter.fandom.com/wiki/Shelagh_O%27Dowd
Rionach O'Neal,https://harrypotter.fandom.com/wiki/Rionach_O%27Neal
Medb O'Sullivan,https://harrypotter.fandom.com/wiki/Medb_O%27Sullivan
Uric Oapley,https://harrypotter.fandom.com/wiki/Uric_Oapley
Sean Ogbourne,https://harrypotter.fandom.com/wiki/Sean_Ogbourne
Nellie Oggspire,https://harrypotter.fandom.com/wiki/Nellie_Oggspire
Remy Olivier,https://harrypotter.fandom.com/wiki/Remy_Olivier
Kate Olney,https://harrypotter.fandom.com/wiki/Kate_Olney
Natsai Onai,https://harrypotter.fandom.com/wiki/Natsai_Onai
Steven Osterley,https://harrypotter.fandom.com/wiki/Steven_Osterley
Andrew Owly,https://harrypotter.fandom.com/wiki/Andrew_Owly
Thomas Paley,https://harrypotter.fandom.com/wiki/Thomas_Paley
Julie Parkes,https://harrypotter.fandom.com/wiki/Julie_Parkes
Jimmy Peakes,https://harrypotter.fandom.com/wiki/Jimmy_Peakes
Peter Pettigrew,https://harrypotter.fandom.com/wiki/Peter_Pettigrew
Adam Pickering,https://harrypotter.fandom.com/wiki/Adam_Pickering
